video/plan,Chen,Faster,Middle,Pei,Yolom,Zhang,source
1990-2-1 plan_n°148 (maj).mp4,0,0,0,0,0,0,BS
1990-2-2 plan_n°249 (maj).mp4,0,0,0,0,0,0,BS
1990-3-1 plan_n°591 (maj).mp4,0,0,0,0,0,0,BS
1990-3-2 plan_n°869 (maj).mp4,0,0,0,0,0,0,BS
1990-4-1 plan_n°292 (maj).mp4,0,0,0,0,0,0,BS
1990-4-2 plan_n°372 (maj).mp4,0,0,0,0,0,0,BS
1990-5-1 plan_n°359 (maj).mp4,0,0,0,0,0,0,BS
1990-5-2 plan_n°504 (maj).mp4,0,0,0,0,0,0,BS
1990-6-1 plan_n°68 (maj).mp4,0,0,0,0,0,0,BS
1990-6-2 plan_n°278 (maj).mp4,0,1,0,0,1,0,BS
1990-7-1 plan_n°131 (maj).mp4,0,0,0,0,0,0,BS
1990-7-2 plan_n°219 (maj).mp4,0,0,0,0,0,0,BS
1990-8-1 plan_n°216.mp4,0,0,0,0,0,0,BS
1990-8-2 plan_n°651.mp4,0,0,0,0,0,0,BS
2000-1-1 plan_n°611.mp4,0,0,0,0,0,0,BS
2000-1-2 plan_n°1285.mp4,0,0,0,0,0,0,BS
2000-2-1 plan_n°419.mp4,0,0,0,0,0,0,BS
2000-2-2 plan_n°469.mp4,0,0,0,0,0,0,BS
2000-3-1 plan_n°84.mp4,0,0,0,0,0,0,BS
2000-3-2 plan_n°427.mp4,0,0,0,0,0,0,BS
2000-4-1 plan_n°51.mp4,0,0,0,0,0,0,BS
2000-4-2 plan_n°63.mp4,0,0,0,0,0,0,BS
2000-5-1 plan_n°28.mp4,0,0,0,0,0,0,BS
2000-5-2 plan_n°186.mp4,1,0,0,0,0,0,BS
2000-6-1 plan_n°51.mp4,0,0,0,0,0,0,BS
2000-6-2 plan_n°69.mp4,0,0,0,0,0,0,BS
2000-7-1 plan_n°85.mp4,0,0,0,0,0,0,BS
2000-7-2 plan_n°455.mp4,0,0,0,0,0,0,BS
2000-8-1 plan_n°13.mp4,0,0,0,0,0,0,BS
2000-8-2 plan_n°23.mp4,0,0,0,0,0,0,BS
2010-1-1 plan_n°324.mp4,0,0,0,0,0,0,BS
2010-1-2 plan_n°1228.mp4,0,0,0,0,0,0,BS
2010-2-1 plan_n°92.mp4,0,0,0,0,0,0,BS
2010-2-2 plan_n°450.mp4,0,0,0,0,0,0,BS
2010-3-1 plan_n°464.mp4,0,0,0,0,0,0,BS
2010-3-2 plan_n°1236.mp4,0,0,0,0,0,0,BS
2010-4-1 plan_n°301.mp4,0,0,0,0,0,0,BS
2010-4-2 plan_n°315.mp4,0,0,0,0,0,0,BS
2010-5-1 plan_n°177.mp4,0,0,0,0,0,0,BS
2010-5-2 plan_n°373.mp4,0,0,0,0,0,0,BS
2010-6-1 plan_n°97.mp4,0,0,0,0,0,0,BS
2010-6-2 plan_n°195.mp4,0,0,0,0,0,0,BS
2010-7-1 plan_n°40.mp4,0,0,0,0,0,0,BS
2010-7-2 plan_n°130.mp4,0,0,0,0,0,0,BS
2010-8-1 plan_n°360.mp4,0,0,0,0,0,0,BS
2010-8-2 plan_n°402.mp4,0,0,0,0,0,0,BS
2020-1-1 plan_n°86.mp4,0,0,0,0,0,0,BS
2020-1-2 plan_n°484.mp4,0,0,0,0,0,0,BS
2020-2-1 plan_n°209.mp4,0,0,0,0,0,0,BS
2020-2-2 plan_n°1296.mp4,0,0,0,0,0,0,BS
2020-3-1 plan_n°118.mp4,0,0,0,0,0,0,BS
2020-3-2 plan_n°530.mp4,0,0,0,0,0,0,BS
2020-4-1 plan_n°11.mp4,0,0,0,0,0,0,BS
